customer_id,credit_score,bureau_status
100001,765,GOOD
100002,769,GOOD
100003,818,GOOD
100004,743,GOOD
100005,843,GOOD
100006,797,GOOD
100007,727,GOOD
100008,804,GOOD
100009,580,REVIEW
100010,580,REVIEW
100011,702,GOOD
100012,832,GOOD
100013,755,GOOD
100014,816,GOOD
100015,755,GOOD
100016,694,REVIEW
100017,849,GOOD
100018,673,REVIEW
100019,819,GOOD
100020,825,GOOD
100021,753,GOOD
100022,649,REVIEW
100023,812,GOOD
100024,826,GOOD
100025,804,GOOD
100026,803,GOOD
100027,730,GOOD
100028,817,GOOD
100029,618,REVIEW
100030,631,REVIEW
100031,846,GOOD
100032,788,GOOD
100033,734,GOOD
100034,763,GOOD
100035,734,GOOD
100036,582,REVIEW
100037,598,REVIEW
100038,836,GOOD
100039,609,REVIEW
100040,563,REVIEW
100041,815,GOOD
100042,766,GOOD
100043,848,GOOD
100044,839,GOOD
100045,771,GOOD
100046,849,GOOD
100047,776,GOOD
100048,839,GOOD
100049,753,GOOD
100050,803,GOOD
100051,789,GOOD
100052,735,GOOD
100053,833,GOOD
100054,732,GOOD
100055,842,GOOD
100056,758,GOOD
100057,684,REVIEW
100058,777,GOOD
100059,808,GOOD
100060,613,REVIEW
100061,846,GOOD
100062,799,GOOD
100063,767,GOOD
100064,696,REVIEW
100065,812,GOOD
100066,729,GOOD
100067,781,GOOD
100068,682,REVIEW
100069,631,REVIEW
100070,569,REVIEW
100071,688,REVIEW
100072,766,GOOD
100073,668,REVIEW
100074,771,GOOD
100075,756,GOOD
100076,815,GOOD
100077,784,GOOD
100078,787,GOOD
100079,685,REVIEW
100080,837,GOOD
100081,725,GOOD
100082,638,REVIEW
100083,558,REVIEW
100084,796,GOOD
100085,764,GOOD
100086,633,REVIEW
100087,690,REVIEW
100088,639,REVIEW
100089,737,GOOD
100090,848,GOOD
100091,779,GOOD
100092,836,GOOD
100093,727,GOOD
100094,797,GOOD
100095,689,REVIEW
100096,823,GOOD
100097,771,GOOD
100098,701,GOOD
100099,552,REVIEW
100100,799,GOOD
100101,836,GOOD
100102,593,REVIEW
100103,680,REVIEW
100104,570,REVIEW
100105,776,GOOD
100106,603,REVIEW
100107,731,GOOD
100108,740,GOOD
100109,815,GOOD
100110,702,GOOD
100111,712,GOOD
100112,696,REVIEW
100113,694,REVIEW
100114,825,GOOD
100115,838,GOOD
100116,792,GOOD
100117,653,REVIEW
100118,758,GOOD
100119,839,GOOD
100120,627,REVIEW
100121,738,GOOD
100122,575,REVIEW
100123,581,REVIEW
100124,760,GOOD
100125,830,GOOD
100126,597,REVIEW
100127,768,GOOD
100128,804,GOOD
100129,814,GOOD
100130,841,GOOD
100131,669,REVIEW
100132,606,REVIEW
100133,684,REVIEW
100134,734,GOOD
100135,693,REVIEW
100136,819,GOOD
100137,764,GOOD
100138,776,GOOD
100139,742,GOOD
100140,703,GOOD
100141,716,GOOD
100142,778,GOOD
100143,805,GOOD
100144,763,GOOD
100145,831,GOOD
100146,699,REVIEW
100147,794,GOOD
100148,809,GOOD
100149,726,GOOD
100150,800,GOOD
100151,802,GOOD
100152,679,REVIEW
100153,562,REVIEW
100154,698,REVIEW
100155,849,GOOD
100156,572,REVIEW
100157,740,GOOD
100158,680,REVIEW
100159,726,GOOD
100160,826,GOOD
100161,742,GOOD
100162,831,GOOD
100163,762,GOOD
100164,731,GOOD
100165,726,GOOD
100166,791,GOOD
100167,811,GOOD
100168,743,GOOD
100169,818,GOOD
100170,728,GOOD
100171,748,GOOD
100172,819,GOOD
100173,581,REVIEW
100174,743,GOOD
100175,722,GOOD
100176,774,GOOD
100177,552,REVIEW
100178,807,GOOD
100179,794,GOOD
100180,588,REVIEW
100181,553,REVIEW
100182,745,GOOD
100183,762,GOOD
100184,829,GOOD
100185,742,GOOD
100186,618,REVIEW
100187,686,REVIEW
100188,847,GOOD
100189,724,GOOD
100190,799,GOOD
100191,719,GOOD
100192,775,GOOD
100193,750,GOOD
100194,739,GOOD
100195,639,REVIEW
100196,783,GOOD
100197,834,GOOD
100198,689,REVIEW
100199,807,GOOD
100200,810,GOOD
100201,657,REVIEW
100202,824,GOOD
100203,847,GOOD
100204,757,GOOD
100205,789,GOOD
100206,716,GOOD
100207,809,GOOD
100208,812,GOOD
100209,736,GOOD
100210,847,GOOD
100211,809,GOOD
100212,635,REVIEW
100213,650,REVIEW
100214,822,GOOD
100215,695,REVIEW
100216,814,GOOD
100217,622,REVIEW
100218,768,GOOD
100219,780,GOOD
100220,721,GOOD
100221,740,GOOD
100222,728,GOOD
100223,762,GOOD
100224,618,REVIEW
100225,601,REVIEW
100226,566,REVIEW
100227,767,GOOD
100228,746,GOOD
100229,559,REVIEW
100230,798,GOOD
100231,775,GOOD
100232,569,REVIEW
100233,605,REVIEW
100234,823,GOOD
100235,760,GOOD
100236,762,GOOD
100237,589,REVIEW
100238,700,GOOD
100239,645,REVIEW
100240,653,REVIEW
100241,691,REVIEW
100242,742,GOOD
100243,823,GOOD
100244,723,GOOD
100245,629,REVIEW
100246,746,GOOD
100247,742,GOOD
100248,839,GOOD
100249,783,GOOD
100250,793,GOOD
100251,550,REVIEW
100252,836,GOOD
100253,785,GOOD
100254,696,REVIEW
100255,812,GOOD
100256,726,GOOD
100257,773,GOOD
100258,562,REVIEW
100259,721,GOOD
100260,551,REVIEW
100261,775,GOOD
100262,596,REVIEW
100263,614,REVIEW
100264,701,GOOD
100265,839,GOOD
100266,755,GOOD
100267,743,GOOD
100268,631,REVIEW
100269,715,GOOD
100270,790,GOOD
100271,771,GOOD
100272,822,GOOD
100273,631,REVIEW
100274,754,GOOD
100275,555,REVIEW
100276,767,GOOD
100277,724,GOOD
100278,762,GOOD
100279,693,REVIEW
100280,630,REVIEW
100281,828,GOOD
100282,840,GOOD
100283,727,GOOD
100284,705,GOOD
100285,688,REVIEW
100286,771,GOOD
100287,827,GOOD
100288,696,REVIEW
100289,778,GOOD
100290,734,GOOD
100291,718,GOOD
100292,803,GOOD
100293,684,REVIEW
100294,797,GOOD
100295,636,REVIEW
100296,597,REVIEW
100297,765,GOOD
100298,664,REVIEW
100299,601,REVIEW
100300,812,GOOD
100301,624,REVIEW
100302,825,GOOD
100303,683,REVIEW
100304,761,GOOD
100305,842,GOOD
100306,801,GOOD
100307,688,REVIEW
100308,701,GOOD
100309,760,GOOD
100310,593,REVIEW
100311,797,GOOD
100312,736,GOOD
100313,763,GOOD
100314,798,GOOD
100315,802,GOOD
100316,752,GOOD
100317,801,GOOD
100318,832,GOOD
100319,704,GOOD
100320,686,REVIEW
100321,630,REVIEW
100322,805,GOOD
100323,717,GOOD
100324,831,GOOD
100325,839,GOOD
100326,717,GOOD
100327,730,GOOD
100328,659,REVIEW
100329,769,GOOD
100330,682,REVIEW
100331,814,GOOD
100332,835,GOOD
100333,655,REVIEW
100334,813,GOOD
100335,804,GOOD
100336,579,REVIEW
100337,833,GOOD
100338,695,REVIEW
100339,747,GOOD
100340,550,REVIEW
100341,766,GOOD
100342,683,REVIEW
100343,696,REVIEW
100344,611,REVIEW
100345,833,GOOD
100346,593,REVIEW
100347,554,REVIEW
100348,809,GOOD
100349,774,GOOD
100350,788,GOOD
100351,741,GOOD
100352,838,GOOD
100353,557,REVIEW
100354,747,GOOD
100355,841,GOOD
100356,592,REVIEW
100357,761,GOOD
100358,759,GOOD
100359,711,GOOD
100360,653,REVIEW
100361,710,GOOD
100362,790,GOOD
100363,777,GOOD
100364,764,GOOD
100365,728,GOOD
100366,808,GOOD
100367,767,GOOD
100368,802,GOOD
100369,848,GOOD
100370,608,REVIEW
100371,734,GOOD
100372,832,GOOD
100373,572,REVIEW
100374,813,GOOD
100375,801,GOOD
100376,657,REVIEW
100377,642,REVIEW
100378,835,GOOD
100379,824,GOOD
100380,807,GOOD
100381,782,GOOD
100382,728,GOOD
100383,815,GOOD
100384,786,GOOD
100385,690,REVIEW
100386,773,GOOD
100387,764,GOOD
100388,817,GOOD
100389,783,GOOD
100390,554,REVIEW
100391,779,GOOD
100392,822,GOOD
100393,753,GOOD
100394,815,GOOD
100395,715,GOOD
100396,583,REVIEW
100397,834,GOOD
100398,830,GOOD
100399,792,GOOD
100400,727,GOOD
100401,619,REVIEW
100402,761,GOOD
100403,835,GOOD
100404,842,GOOD
100405,640,REVIEW
100406,771,GOOD
100407,832,GOOD
100408,697,REVIEW
100409,766,GOOD
100410,770,GOOD
100411,755,GOOD
100412,807,GOOD
100413,763,GOOD
100414,572,REVIEW
100415,767,GOOD
100416,758,GOOD
100417,720,GOOD
100418,787,GOOD
100419,673,REVIEW
100420,843,GOOD
100421,782,GOOD
100422,761,GOOD
100423,780,GOOD
100424,595,REVIEW
100425,840,GOOD
100426,774,GOOD
100427,788,GOOD
100428,734,GOOD
100429,645,REVIEW
100430,761,GOOD
100431,746,GOOD
100432,620,REVIEW
100433,781,GOOD
100434,656,REVIEW
100435,766,GOOD
100436,826,GOOD
100437,751,GOOD
100438,764,GOOD
100439,828,GOOD
100440,813,GOOD
100441,799,GOOD
100442,763,GOOD
100443,569,REVIEW
100444,837,GOOD
100445,641,REVIEW
100446,847,GOOD
100447,770,GOOD
100448,829,GOOD
100449,791,GOOD
100450,706,GOOD
100451,710,GOOD
100452,631,REVIEW
100453,708,GOOD
100454,714,GOOD
100455,724,GOOD
100456,805,GOOD
100457,577,REVIEW
100458,731,GOOD
100459,827,GOOD
100460,846,GOOD
100461,831,GOOD
100462,724,GOOD
100463,830,GOOD
100464,606,REVIEW
100465,845,GOOD
100466,698,REVIEW
100467,781,GOOD
100468,733,GOOD
100469,737,GOOD
100470,817,GOOD
100471,786,GOOD
100472,726,GOOD
100473,681,REVIEW
100474,604,REVIEW
100475,592,REVIEW
100476,786,GOOD
100477,797,GOOD
100478,730,GOOD
100479,565,REVIEW
100480,722,GOOD
100481,788,GOOD
100482,690,REVIEW
100483,786,GOOD
100484,707,GOOD
100485,618,REVIEW
100486,748,GOOD
100487,735,GOOD
100488,837,GOOD
100489,724,GOOD
100490,813,GOOD
100491,744,GOOD
100492,799,GOOD
100493,801,GOOD
100494,705,GOOD
100495,744,GOOD
100496,697,REVIEW
100497,762,GOOD
100498,741,GOOD
100499,611,REVIEW
100500,675,REVIEW
100501,777,GOOD
100502,819,GOOD
100503,766,GOOD
100504,783,GOOD
100505,831,GOOD
100506,756,GOOD
100507,707,GOOD
100508,763,GOOD
100509,820,GOOD
100510,727,GOOD
100511,784,GOOD
100512,798,GOOD
100513,749,GOOD
100514,789,GOOD
100515,799,GOOD
100516,715,GOOD
100517,688,REVIEW
100518,812,GOOD
100519,633,REVIEW
100520,782,GOOD
100521,577,REVIEW
100522,795,GOOD
100523,668,REVIEW
100524,844,GOOD
100525,743,GOOD
100526,768,GOOD
100527,789,GOOD
100528,652,REVIEW
100529,816,GOOD
100530,708,GOOD
100531,798,GOOD
100532,736,GOOD
100533,623,REVIEW
100534,765,GOOD
100535,806,GOOD
100536,753,GOOD
100537,580,REVIEW
100538,570,REVIEW
100539,581,REVIEW
100540,774,GOOD
100541,666,REVIEW
100542,597,REVIEW
100543,679,REVIEW
100544,830,GOOD
100545,792,GOOD
100546,703,GOOD
100547,746,GOOD
100548,702,GOOD
100549,801,GOOD
100550,780,GOOD
100551,698,REVIEW
100552,703,GOOD
100553,654,REVIEW
100554,755,GOOD
100555,815,GOOD
100556,718,GOOD
100557,761,GOOD
100558,729,GOOD
100559,561,REVIEW
100560,706,GOOD
100561,822,GOOD
100562,762,GOOD
100563,687,REVIEW
100564,827,GOOD
100565,632,REVIEW
100566,760,GOOD
100567,783,GOOD
100568,691,REVIEW
100569,831,GOOD
100570,800,GOOD
100571,704,GOOD
100572,747,GOOD
100573,817,GOOD
100574,824,GOOD
100575,844,GOOD
100576,804,GOOD
100577,818,GOOD
100578,640,REVIEW
100579,813,GOOD
100580,730,GOOD
100581,783,GOOD
100582,700,GOOD
100583,834,GOOD
100584,809,GOOD
100585,660,REVIEW
100586,829,GOOD
100587,659,REVIEW
100588,556,REVIEW
100589,680,REVIEW
100590,787,GOOD
100591,570,REVIEW
100592,833,GOOD
100593,685,REVIEW
100594,667,REVIEW
100595,850,GOOD
100596,759,GOOD
100597,806,GOOD
100598,738,GOOD
100599,733,GOOD
100600,784,GOOD
100601,787,GOOD
100602,719,GOOD
100603,841,GOOD
100604,561,REVIEW
100605,807,GOOD
100606,816,GOOD
100607,582,REVIEW
100608,825,GOOD
