customer_id,customer_name,age,income,occupation,employment_type,employment_tenure_months,city,state,marital_status,dependents,education_level,account_age_months
100001,Customer_100001,31,197525.0,TEACHER,SALARIED,66,Delhi,Delhi,SINGLE,1,HIGH_SCHOOL,61
100002,Customer_100002,31,77727.0,OPERATIONS_MANAGER,SALARIED,85,Mumbai,Maharashtra,SINGLE,0,GRADUATE,48
100003,Customer_100003,38,300794.0,BUSINESS_OWNER,BUSINESS,159,Mumbai,Maharashtra,MARRIED,1,PROFESSIONAL,222
100004,Customer_100004,60,96759.0,ACCOUNTANT,SALARIED,160,Ahmedabad,Gujarat,MARRIED,3,POST_GRADUATE,31
100005,Customer_100005,27,165323.0,SOFTWARE_ENGINEER,SALARIED,81,Mumbai,Maharashtra,SINGLE,0,GRADUATE,5
100006,Customer_100006,28,50755.0,OPERATIONS_MANAGER,SALARIED,2,Ahmedabad,Gujarat,SINGLE,0,DIPLOMA,5
100007,Customer_100007,30,262999.0,FREELANCER,SELF_EMPLOYED,55,Hyderabad,Telangana,SINGLE,0,HIGH_SCHOOL,135
100008,Customer_100008,35,131948.0,BANKER,SALARIED,167,Chennai,Tamil_Nadu,MARRIED,2,GRADUATE,140
100009,Customer_100009,51,81431.0,CONTRACTOR,CONTRACT,119,Bengaluru,Karnataka,DIVORCED,1,DIPLOMA,175
100010,Customer_100010,46,366340.0,MANUFACTURER,BUSINESS,229,Mumbai,Maharashtra,MARRIED,1,PROFESSIONAL,335
